,,Classification,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,Ulsan Ulju-gun ,Female,"2,766",303,225,107,"1,722",211,0,198
Sejong,Sejong Total,Total,"15,525","2,473",515,316,"6,904","2,912",0,"2,405"
,Sejong Total,Male,"7,917","1,281",272,162,"3,507","1,463",0,"1,232"
,Sejong Total,Female,"7,608","1,192",243,154,"3,397","1,449",0,"1,173"
,Sejong,Total,"15,525","2,473",515,316,"6,904","2,912",0,"2,405"
,Sejong,Male,"7,917","1,281",272,162,"3,507","1,463",0,"1,232"
,Sejong,Female,"7,608","1,192",243,154,"3,397","1,449",0,"1,173"
Gyeonggi,Gyeonggi Total,Total,"389,004","56,136","4,218","7,260","201,521","102,424","1,683","15,762"
,Gyeonggi Total,Male,"201,304","29,058","2,199","3,818","104,236","52,845",891,"8,257"
,Gyeonggi Total,Female,"187,700","27,078","2,019","3,442","97,285","49,579",792,"7,505"
,Gyeonggi Suwon-si,Total,"32,358","3,788",211,477,"15,329","10,213",85,"2,255"
,Gyeonggi Suwon-si,Male,"16,828","1,964",105,240,"7,947","5,323",55,"1,194"
,Gyeonggi Suwon-si,Female,"15,530","1,824",106,237,"7,382","4,890",30,"1,061"
,Gyeonggi Seongnam-si,Total,"22,095","5,677",75,763,"6,623","5,397",209,"3,351"
,Gyeonggi Seongnam-si,Male,"11,358","2,923",39,389,"3,382","2,774",122,"1,729"
,Gyeonggi Seongnam-si,Female,"10,737","2,754",36,374,"3,241","2,623",87,"1,622"
,Gyeonggi Uijeongbu-si,Total,"12,996","1,326",50,183,"7,287","3,791",11,348
,Gyeonggi Uijeongbu-si,Male,"6,830",717,26,93,"3,812","1,989",5,188
,Gyeonggi Uijeongbu-si,Female,"6,166",609,24,90,"3,475","1,802",6,160
,Gyeonggi Anyang-si,Total,"14,404","2,190",103,47,"6,978","4,628",64,394
,Gyeonggi Anyang-si,Male,"7,415","1,120",60,22,"3,585","2,382",30,216
,Gyeonggi Anyang-si,Female,"6,989","1,070",43,25,"3,393","2,246",34,178
,Gyeonggi Bucheon-si,Total,"19,562","2,342",195,859,"10,705","4,887",92,482
,Gyeonggi Bucheon-si,Male,"10,081","1,237",106,450,"5,487","2,496",50,255
,Gyeonggi Bucheon-si,Female,"9,481","1,105",89,409,"5,218","2,391",42,227
,Gyeonggi Gwangmyeong-si,Total,"8,577","2,111",51,146,"3,487","2,496",77,209
,Gyeonggi Gwangmyeong-si,Male,"4,419","1,097",25,85,"1,824","1,233",43,112
,Gyeonggi Gwangmyeong-si,Female,"4,158","1,014",26,61,"1,663","1,263",34,97
,Gyeonggi Pyeongtaek-si,Total,"15,368","1,752",203,151,"9,486","3,058",17,701
,Gyeonggi Pyeongtaek-si,Male,"7,908",896,100,73,"4,854","1,589",12,384
,Gyeonggi Pyeongtaek-si,Female,"7,460",856,103,78,"4,632","1,469",5,317
,Gyeonggi Dongducheon-si,Total,"2,954",502,35,58,"1,726",633,0,0
,Gyeonggi Dongducheon-si,Male,"1,560",262,26,34,914,324,0,0
,Gyeonggi Dongducheon-si,Female,"1,394",240,9,24,812,309,0,0
,Gyeonggi Ansan-si,Total,"18,746","2,082",0,411,"12,014","3,716",54,469
,Gyeonggi Ansan-si,Male,"9,627","1,062",0,201,"6,194","1,901",28,241
,Gyeonggi Ansan-si,Female,"9,119","1,020",0,210,"5,820","1,815",26,228
,Gyeonggi Goyang-si,Total,"25,807","4,390",191,188,"12,159","7,382",206,"1,291"
,Gyeonggi Goyang-si,Male,"13,290","2,276",102,102,"6,253","3,781",99,677
,Gyeonggi Goyang-si,Female,"12,517","2,114",89,86,"5,906","3,601",107,614
,Gyeonggi Gwacheon-si,Total,"2,026",582,68,0,321,301,125,629
,Gyeonggi Gwacheon-si,Male,"1,125",335,31,0,189,156,68,346
,Gyeonggi Gwacheon-si,Female,901,247,37,0,132,145,57,283
,Gyeonggi Guri-si,Total,"5,137",852,0,182,"2,290","1,721",0,92
,Gyeonggi Guri-si,Male,"2,655",431,0,97,"1,171",907,0,49
,Gyeonggi Guri-si,Female,"2,482",421,0,85,"1,119",814,0,43
,Gyeonggi Namyangju-si,Total,"22,012","3,368",200,709,"11,891","5,752",31,61
,Gyeonggi Namyangju-si,Male,"11,421","1,703",103,383,"6,243","2,943",13,33
,Gyeonggi Namyangju-si,Female,"10,591","1,665",97,326,"5,648","2,809",18,28
,Gyeonggi Osan-si,Total,"8,621","2,509",34,131,"3,216","2,580",0,151
,Gyeonggi Osan-si,Male,"4,476","1,311",21,76,"1,670","1,336",0,62
,Gyeonggi Osan-si,Female,"4,145","1,198",13,55,"1,546","1,244",0,89
,Gyeonggi Siheung-si,Total,"17,205","2,984",297,37,"9,627","4,157",0,103
,Gyeonggi Siheung-si,Male,"8,883","1,580",151,21,"4,949","2,121",0,61
,Gyeonggi Siheung-si,Female,"8,322","1,404",146,16,"4,678","2,036",0,42
,Gyeonggi Gunpo-si,Total,"7,534","1,229",41,126,"3,698","2,162",38,240
,Gyeonggi Gunpo-si,Male,"3,871",621,16,57,"1,912","1,115",18,132
,Gyeonggi Gunpo-si,Female,"3,663",608,25,69,"1,786","1,047",20,108
,Gyeonggi Uiwang-si,Total,"4,697",983,370,362,"1,475","1,251",86,170
,Gyeonggi Uiwang-si,Male,"2,433",499,173,200,742,681,49,89
,Gyeonggi Uiwang-si,Female,"2,264",484,197,162,733,570,37,81
,Gyeonggi Hanam-si,Total,"9,298","1,775",0,49,"4,758","2,419",236,61
,Gyeonggi Hanam-si,Male,"4,877",911,0,26,"2,510","1,281",119,30
,Gyeonggi Hanam-si,Female,"4,421",864,0,23,"2,248","1,138",117,31
,Gyeonggi Yongin-si,Total,"33,493","2,429",363,"1,061","18,951","8,923",150,"1,616"
,Gyeonggi Yongin-si,Male,"17,341","1,266",212,575,"9,773","4,608",81,826
,Gyeonggi Yongin-si,Female,"16,152","1,163",151,486,"9,178","4,315",69,790
,Gyeonggi Paju-si,Total,"14,239","1,176",229,28,"7,522","4,342",27,915
,Gyeonggi Paju-si,Male,"7,358",608,116,19,"3,893","2,213",15,494
,Gyeonggi Paju-si,Female,"6,881",568,113,9,"3,629","2,129",12,421
,Gyeonggi Icheon-si,Total,"7,631",759,0,135,"5,591",732,20,394
,Gyeonggi Icheon-si,Male,"3,971",417,0,62,"2,884",391,10,207
,Gyeonggi Icheon-si,Female,"3,660",342,0,73,"2,707",341,10,187
,Gyeonggi Anseong-si,Total,"6,556",738,198,179,"4,022","1,309",0,110
,Gyeonggi Anseong-si,Male,"3,411",365,109,96,"2,069",715,0,57
,Gyeonggi Anseong-si,Female,"3,145",373,89,83,"1,953",594,0,53
,Gyeonggi Gimpo-si,Total,"14,621","2,149",489,0,"6,609","5,229",17,128
,Gyeonggi Gimpo-si,Male,"7,547","1,086",256,0,"3,423","2,702",10,70
,Gyeonggi Gimpo-si,Female,"7,074","1,063",233,0,"3,186","2,527",7,58
,Gyeonggi Hwaseong-si,Total,"28,533","3,984",435,214,"13,874","9,323",0,703
,Gyeonggi Hwaseong-si,Male,"14,778","2,076",214,111,"7,198","4,811",0,368
,Gyeonggi Hwaseong-si,Female,"13,755","1,908",221,103,"6,676","4,512",0,335
