Classification,,,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,Daejeon Daedeok-gu,Female,"2,452 ",242 ,187 ,58 ,"1,069 ",766 ,0 ,130 
Ulsan,Ulsan Total,Total,"34,657 ","2,376 ",819 ,460 ,"23,673 ","5,570 ",144 ,"1,615 "
,Ulsan Total,Male,"18,052 ","1,263 ",447 ,235 ,"12,314 ","2,910 ",64 ,819 
,Ulsan Total,Female,"16,605 ","1,113 ",372 ,225 ,"11,359 ","2,660 ",80 ,796 
,Ulsan Jung-gu,Total,"6,318 ",311 ,190 ,0 ,"4,587 ",766 ,40 ,424 
,Ulsan Jung-gu,Male,"3,252 ",157 ,111 ,0 ,"2,363 ",381 ,18 ,222 
,Ulsan Jung-gu,Female,"3,066 ",154 ,79 ,0 ,"2,224 ",385 ,22 ,202 
,Ulsan Nam-gu,Total,"8,501 ",693 ,46 ,0 ,"5,527 ","1,852 ",72 ,311 
,Ulsan Nam-gu,Male,"4,403 ",360 ,21 ,0 ,"2,869 ",961 ,36 ,156 
,Ulsan Nam-gu,Female,"4,098 ",333 ,25 ,0 ,"2,658 ",891 ,36 ,155 
,Ulsan Dong-gu,Total,"6,451 ",546 ,0 ,0 ,"4,698 ",890 ,0 ,317 
,Ulsan Dong-gu,Male,"3,349 ",292 ,0 ,0 ,"2,407 ",484 ,0 ,166 
,Ulsan Dong-gu,Female,"3,102 ",254 ,0 ,0 ,"2,291 ",406 ,0 ,151 
,Ulsan Buk-gu,Total,"7,172 ",305 ,120 ,216 ,"4,779 ","1,502 ",32 ,218 
,Ulsan Buk-gu,Male,"3,827 ",178 ,65 ,118 ,"2,565 ",783 ,10 ,108 
,Ulsan Buk-gu,Female,"3,345 ",127 ,55 ,98 ,"2,214 ",719 ,22 ,110 
,Ulsan Ulju-gun ,Total,"6,215 ",521 ,463 ,244 ,"4,082 ",560 ,0 ,345 
,Ulsan Ulju-gun ,Male,"3,221 ",276 ,250 ,117 ,"2,110 ",301 ,0 ,167 
,Ulsan Ulju-gun ,Female,"2,994 ",245 ,213 ,127 ,"1,972 ",259 ,0 ,178 
Sejong,Sejong Total,Total,"12,580 ","1,272 ",665 ,344 ,"5,480 ","2,731 ",0 ,"2,088 "
,Sejong Total,Male,"6,461 ",654 ,364 ,176 ,"2,774 ","1,407 ",0 ,"1,086 "
