Classification,,,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,Gwangju Seo-gu,Female,"3,671 ",391 ,500 ,32 ,"1,641 ",919 ,12 ,176 
,Gwangju Nam-gu,Total,"5,542 ",243 ,"1,344 ",492 ,"2,576 ",802 ,55 ,30 
,Gwangju Nam-gu,Male,"2,902 ",143 ,700 ,261 ,"1,333 ",420 ,28 ,17 
,Gwangju Nam-gu,Female,"2,640 ",100 ,644 ,231 ,"1,243 ",382 ,27 ,13 
,Gwangju Buk-gu,Total,"12,664 ",779 ,"2,535 ",541 ,"6,282 ","2,072 ",0 ,455 
,Gwangju Buk-gu,Male,"6,506 ",394 ,"1,331 ",300 ,"3,241 ","1,007 ",0 ,233 
,Gwangju Buk-gu,Female,"6,158 ",385 ,"1,204 ",241 ,"3,041 ","1,065 ",0 ,222 
,Gwangju Gwangsan-gu,Total,"15,934 ",472 ,"2,185 ",172 ,"9,114 ","3,577 ",102 ,312 
,Gwangju Gwangsan-gu,Male,"8,300 ",250 ,"1,155 ",93 ,"4,757 ","1,819 ",54 ,172 
,Gwangju Gwangsan-gu,Female,"7,634 ",222 ,"1,030 ",79 ,"4,357 ","1,758 ",48 ,140 
Daejeon,Daejeon Total,Total,"41,553 ","1,868 ","2,836 ",582 ,"18,033 ","14,214 ",255 ,"3,765 "
,Daejeon Total,Male,"21,455 ","1,005 ","1,467 ",314 ,"9,300 ","7,327 ",131 ,"1,911 "
,Daejeon Total,Female,"20,098 ",863 ,"1,369 ",268 ,"8,733 ","6,887 ",124 ,"1,854 "
,Daejeon Dong-gu,Total,"6,119 ",246 ,777 ,121 ,"3,391 ","1,418 ",34 ,132 
,Daejeon Dong-gu,Male,"3,151 ",125 ,403 ,69 ,"1,719 ",756 ,19 ,60 
,Daejeon Dong-gu,Female,"2,968 ",121 ,374 ,52 ,"1,672 ",662 ,15 ,72 
,Daejeon Jung-gu,Total,"5,752 ",211 ,367 ,100 ,"3,342 ","1,544 ",48 ,140 
,Daejeon Jung-gu,Male,"3,038 ",118 ,184 ,48 ,"1,768 ",833 ,23 ,64 
,Daejeon Jung-gu,Female,"2,714 ",93 ,183 ,52 ,"1,574 ",711 ,25 ,76 
,Daejeon Seo-gu,Total,"12,800 ",527 ,463 ,164 ,"5,048 ","5,329 ",85 ,"1,184 "
,Daejeon Seo-gu,Male,"6,643 ",286 ,237 ,90 ,"2,625 ","2,769 ",42 ,594 
,Daejeon Seo-gu,Female,"6,157 ",241 ,226 ,74 ,"2,423 ","2,560 ",43 ,590 
,Daejeon Yuseong-gu,Total,"12,191 ",384 ,833 ,88 ,"4,205 ","4,528 ",88 ,"2,065 "
,Daejeon Yuseong-gu,Male,"6,231 ",209 ,428 ,51 ,"2,157 ","2,270 ",47 ,"1,069 "
,Daejeon Yuseong-gu,Female,"5,960 ",175 ,405 ,37 ,"2,048 ","2,258 ",41 ,996 
,Daejeon Daedeok-gu,Total,"4,691 ",500 ,396 ,109 ,"2,047 ","1,395 ",0 ,244 
,Daejeon Daedeok-gu,Male,"2,392 ",267 ,215 ,56 ,"1,031 ",699 ,0 ,124 
,Daejeon Daedeok-gu,Female,"2,299 ",233 ,181 ,53 ,"1,016 ",696 ,0 ,120 
Ulsan,Ulsan Total,Total,"34,436 ","2,813 ",812 ,465 ,"23,165 ","5,269 ",154 ,"1,758 "
,Ulsan Total,Male,"17,929 ","1,519 ",447 ,243 ,"11,959 ","2,776 ",72 ,913 
,Ulsan Total,Female,"16,507 ","1,294 ",365 ,222 ,"11,206 ","2,493 ",82 ,845 
,Ulsan Jung-gu,Total,"6,172 ",306 ,180 ,0 ,"4,471 ",711 ,40 ,464 
,Ulsan Jung-gu,Male,"3,187 ",161 ,96 ,0 ,"2,308 ",359 ,17 ,246 
,Ulsan Jung-gu,Female,"2,985 ",145 ,84 ,0 ,"2,163 ",352 ,23 ,218 
,Ulsan Nam-gu,Total,"8,298 ",746 ,43 ,0 ,"5,403 ","1,692 ",79 ,335 
,Ulsan Nam-gu,Male,"4,322 ",403 ,26 ,0 ,"2,796 ",884 ,40 ,173 
,Ulsan Nam-gu,Female,"3,976 ",343 ,17 ,0 ,"2,607 ",808 ,39 ,162 
,Ulsan Dong-gu,Total,"6,244 ",606 ,0 ,0 ,"4,514 ",829 ,0 ,295 
,Ulsan Dong-gu,Male,"3,224 ",334 ,0 ,0 ,"2,308 ",430 ,0 ,152 
,Ulsan Dong-gu,Female,"3,020 ",272 ,0 ,0 ,"2,206 ",399 ,0 ,143 
,Ulsan Buk-gu,Total,"7,638 ",626 ,115 ,226 ,"4,907 ","1,516 ",35 ,213 
,Ulsan Buk-gu,Male,"4,021 ",336 ,61 ,122 ,"2,556 ",820 ,15 ,111 
,Ulsan Buk-gu,Female,"3,617 ",290 ,54 ,104 ,"2,351 ",696 ,20 ,102 
,Ulsan Ulju-gun ,Total,"6,084 ",529 ,474 ,239 ,"3,870 ",521 ,0 ,451 
,Ulsan Ulju-gun ,Male,"3,175 ",285 ,264 ,121 ,"1,991 ",283 ,0 ,231 
,Ulsan Ulju-gun ,Female,"2,909 ",244 ,210 ,118 ,"1,879 ",238 ,0 ,220 
Sejong,Sejong Total,Total,"14,298 ","1,656 ",604 ,330 ,"6,506 ","3,104 ",0 ,"2,098 "
,Sejong Total,Male,"7,413 ",844 ,316 ,169 ,"3,369 ","1,618 ",0 ,"1,097 "
,Sejong Total,Female,"6,885 ",812 ,288 ,161 ,"3,137 ","1,486 ",0 ,"1,001 "
