,,Classification,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,Gyeonggi Uijeongbu-si,Female,"5,529",916,0,45,"3,014","1,373",6,175
,Gyeonggi Anyang-si,Total,"12,428","2,446",97,37,"5,968","3,388",95,397
,Gyeonggi Anyang-si,Male,"6,364","1,240",50,17,"3,054","1,740",50,213
,Gyeonggi Anyang-si,Female,"6,064","1,206",47,20,"2,914","1,648",45,184
,Gyeonggi Bucheon-si,Total,"16,427","2,576",95,680,"8,672","3,826",104,474
,Gyeonggi Bucheon-si,Male,"8,646","1,404",64,365,"4,554","1,969",53,237
,Gyeonggi Bucheon-si,Female,"7,781","1,172",31,315,"4,118","1,857",51,237
,Gyeonggi Gwangmyeong-si,Total,"6,718","2,129",51,94,"2,346","1,845",46,207
,Gyeonggi Gwangmyeong-si,Male,"3,414","1,081",24,55,"1,172",941,23,118
,Gyeonggi Gwangmyeong-si,Female,"3,304","1,048",27,39,"1,174",904,23,89
,Gyeonggi Pyeongtaek-si,Total,"15,459","3,100",153,208,"8,602","2,724",13,659
,Gyeonggi Pyeongtaek-si,Male,"7,941","1,615",84,107,"4,416","1,369",10,340
,Gyeonggi Pyeongtaek-si,Female,"7,518","1,485",69,101,"4,186","1,355",3,319
,Gyeonggi Dongducheon-si,Total,"2,368",490,33,40,"1,363",442,0,0
,Gyeonggi Dongducheon-si,Male,"1,234",258,25,24,697,230,0,0
,Gyeonggi Dongducheon-si,Female,"1,134",232,8,16,666,212,0,0
,Gyeonggi Ansan-si,Total,"16,679","2,682",0,337,"10,413","2,750",45,452
,Gyeonggi Ansan-si,Male,"8,532","1,357",0,163,"5,372","1,383",25,232
,Gyeonggi Ansan-si,Female,"8,147","1,325",0,174,"5,041","1,367",20,220
,Gyeonggi Goyang-si,Total,"22,900","5,194",131,153,"10,486","5,564",178,"1,194"
,Gyeonggi Goyang-si,Male,"11,751","2,636",65,91,"5,396","2,844",100,619
,Gyeonggi Goyang-si,Female,"11,149","2,558",66,62,"5,090","2,720",78,575
,Gyeonggi Gwacheon-si,Total,"2,121",812,78,0,268,297,102,564
,Gyeonggi Gwacheon-si,Male,"1,127",452,42,0,147,157,55,274
,Gyeonggi Gwacheon-si,Female,994,360,36,0,121,140,47,290
,Gyeonggi Guri-si,Total,"4,419",976,0,66,"1,866","1,438",0,73
,Gyeonggi Guri-si,Male,"2,269",499,0,35,953,745,0,37
,Gyeonggi Guri-si,Female,"2,150",477,0,31,913,693,0,36
,Gyeonggi Namyangju-si,Total,"19,008","3,973",156,555,"9,793","4,415",34,82
,Gyeonggi Namyangju-si,Male,"9,970","2,046",74,291,"5,148","2,353",18,40
,Gyeonggi Namyangju-si,Female,"9,038","1,927",82,264,"4,645","2,062",16,42
,Gyeonggi Osan-si,Total,"7,632","2,568",36,147,"2,651","2,077",0,153
,Gyeonggi Osan-si,Male,"3,975","1,354",27,84,"1,345","1,087",0,78
,Gyeonggi Osan-si,Female,"3,657","1,214",9,63,"1,306",990,0,75
,Gyeonggi Siheung-si,Total,"17,482","4,452",272,164,"8,250","4,117",0,227
,Gyeonggi Siheung-si,Male,"8,898","2,278",151,81,"4,228","2,041",0,119
,Gyeonggi Siheung-si,Female,"8,584","2,174",121,83,"4,022","2,076",0,108
,Gyeonggi Gunpo-si,Total,"6,296","1,437",45,87,"2,955","1,486",42,244
,Gyeonggi Gunpo-si,Male,"3,270",721,23,40,"1,550",796,23,117
,Gyeonggi Gunpo-si,Female,"3,026",716,22,47,"1,405",690,19,127
,Gyeonggi Uiwang-si,Total,"4,467","1,192",403,348,"1,308",989,55,172
,Gyeonggi Uiwang-si,Male,"2,363",639,204,174,692,528,31,95
,Gyeonggi Uiwang-si,Female,"2,104",553,199,174,616,461,24,77
,Gyeonggi Hanam-si,Total,"9,929","3,354",0,49,"4,114","2,104",225,83
,Gyeonggi Hanam-si,Male,"5,199","1,736",0,22,"2,162","1,117",122,40
,Gyeonggi Hanam-si,Female,"4,730","1,618",0,27,"1,952",987,103,43
